{{Mod
|id                               = ManaCostReductionJewel
|domain                           = 10
|generation_type                  = 2
|required_level                   = 1
|name                             = of Efficiency
|mod_groups                       = ManaCostReduction
|mod_type                         = ManaCostReductionForJewel
|game_mode                        = 0
|stat_text                        = (3-5)% reduced [[Mana]] Cost of [[Skill|Skills]]
|stat1_id                         = base_mana_cost_-%
|stat1_min                        = 3
|stat1_max                        = 5
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = resource, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
