{{Mod
|id                               = MinionBlindImmunityUnique__1
|mod_groups                       = MinionBlindImmunity
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionBlindImmunity
|stat_text                        = [[Minion|Minions]] cannot be Blinded
|stat1_id                         = minions_cannot_be_blinded
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
