{{Mod
|id                               = TotemElementalResistancesJewel
|mod_groups                       = TotemElementalResistances
|domain                           = 10
|generation_type                  = 2
|required_level                   = 1
|name                             = of Runes
|mod_type                         = TotemElementalResistancesForJewel
|stat_text                        = [[Totem|Totems]] gain +(6-10)% to all [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = totem_elemental_resistance_%
|stat1_min                        = 6
|stat1_max                        = 10
|spawn_weight1_tag                = not_str
|spawn_weight1_value              = 250
|spawn_weight2_tag                = default
|spawn_weight2_value              = 350
|tags                             = elemental, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
