{{Item
|rarity_id                               = normal
|name                                    = Overexertion Support
|class_id                                = Support Skill Gem
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 38
|tags                                    = support_gem, gem, default
|metadata_id                             = Metadata/Items/Gems/SupportGemOverexertion
|help_text                               = This is a Support Gem. It does not grant a bonus to your character, but to skills in sockets connected to it. Place into an item socket connected to a socket containing the Skill Gem you wish to augment. Right click to remove from a socket.
|strength_percent                        = 100
|gem_tags                                = Warcry, Support, Melee, Attack
|skill_id                                = SupportOverexertion
|support_gem_letter                      = o
|required_level                          = 38
|quality_type1_weight                    = 1
|quality_type1_stat_text                 = Supported Attacks deal (1-20)% increased Damage if Exerted
|quality_type1_stat1_id                  = empowered_attack_damage_+%
|quality_type1_stat1_value               = 1000
|static_cost_multiplier                  = 140
|static_damage_effectiveness             = 100
|static_damage_multiplier                = 100
|static_attack_speed_multiplier          = 100
|static_stat1_id                         = support_overexertion_damage_+%_final_if_exerted
|static_stat1_value                      = 10
|stat_text                               = Supported Attacks deal (12-18)% more Damage for each Warcry Exerting them<br>Supported Attacks deal 10% more Damage if Exerted
|level1                                  = True
|level1_level_requirement                = 38
|level1_stat_text                        = Supported Attacks deal 12% more Damage for each Warcry Exerting them
|level1_stat1_id                         = support_overexertion_damage_+%_final_per_warcry_exerting_action
|level1_stat1_value                      = 12
|level2                                  = True
|level2_level_requirement                = 40
|level2_stat_text                        = Supported Attacks deal 12% more Damage for each Warcry Exerting them
|level2_stat1_id                         = support_overexertion_damage_+%_final_per_warcry_exerting_action
|level2_stat1_value                      = 12
|level3                                  = True
|level3_level_requirement                = 42
|level3_stat_text                        = Supported Attacks deal 13% more Damage for each Warcry Exerting them
|level3_stat1_id                         = support_overexertion_damage_+%_final_per_warcry_exerting_action
|level3_stat1_value                      = 13
|level4                                  = True
|level4_level_requirement                = 44
|level4_stat_text                        = Supported Attacks deal 13% more Damage for each Warcry Exerting them
|level4_stat1_id                         = support_overexertion_damage_+%_final_per_warcry_exerting_action
|level4_stat1_value                      = 13
|level5                                  = True
|level5_level_requirement                = 46
|level5_stat_text                        = Supported Attacks deal 13% more Damage for each Warcry Exerting them
|level5_stat1_id                         = support_overexertion_damage_+%_final_per_warcry_exerting_action
|level5_stat1_value                      = 13
|level6                                  = True
|level6_level_requirement                = 48
|level6_stat_text                        = Supported Attacks deal 14% more Damage for each Warcry Exerting them
|level6_stat1_id                         = support_overexertion_damage_+%_final_per_warcry_exerting_action
|level6_stat1_value                      = 14
|level7                                  = True
|level7_level_requirement                = 50
|level7_stat_text                        = Supported Attacks deal 14% more Damage for each Warcry Exerting them
|level7_stat1_id                         = support_overexertion_damage_+%_final_per_warcry_exerting_action
|level7_stat1_value                      = 14
|level8                                  = True
|level8_level_requirement                = 52
|level8_stat_text                        = Supported Attacks deal 14% more Damage for each Warcry Exerting them
|level8_stat1_id                         = support_overexertion_damage_+%_final_per_warcry_exerting_action
|level8_stat1_value                      = 14
|level9                                  = True
|level9_level_requirement                = 54
|level9_stat_text                        = Supported Attacks deal 14% more Damage for each Warcry Exerting them
|level9_stat1_id                         = support_overexertion_damage_+%_final_per_warcry_exerting_action
|level9_stat1_value                      = 14
|level10                                 = True
|level10_level_requirement               = 56
|level10_stat_text                       = Supported Attacks deal 15% more Damage for each Warcry Exerting them
|level10_stat1_id                        = support_overexertion_damage_+%_final_per_warcry_exerting_action
|level10_stat1_value                     = 15
|level11                                 = True
|level11_level_requirement               = 58
|level11_stat_text                       = Supported Attacks deal 15% more Damage for each Warcry Exerting them
|level11_stat1_id                        = support_overexertion_damage_+%_final_per_warcry_exerting_action
|level11_stat1_value                     = 15
|level12                                 = True
|level12_level_requirement               = 60
|level12_stat_text                       = Supported Attacks deal 15% more Damage for each Warcry Exerting them
|level12_stat1_id                        = support_overexertion_damage_+%_final_per_warcry_exerting_action
|level12_stat1_value                     = 15
|level13                                 = True
|level13_level_requirement               = 62
|level13_stat_text                       = Supported Attacks deal 16% more Damage for each Warcry Exerting them
|level13_stat1_id                        = support_overexertion_damage_+%_final_per_warcry_exerting_action
|level13_stat1_value                     = 16
|level14                                 = True
|level14_level_requirement               = 64
|level14_stat_text                       = Supported Attacks deal 16% more Damage for each Warcry Exerting them
|level14_stat1_id                        = support_overexertion_damage_+%_final_per_warcry_exerting_action
|level14_stat1_value                     = 16
|level15                                 = True
|level15_level_requirement               = 65
|level15_stat_text                       = Supported Attacks deal 16% more Damage for each Warcry Exerting them
|level15_stat1_id                        = support_overexertion_damage_+%_final_per_warcry_exerting_action
|level15_stat1_value                     = 16
|level16                                 = True
|level16_level_requirement               = 66
|level16_stat_text                       = Supported Attacks deal 17% more Damage for each Warcry Exerting them
|level16_stat1_id                        = support_overexertion_damage_+%_final_per_warcry_exerting_action
|level16_stat1_value                     = 17
|level17                                 = True
|level17_level_requirement               = 67
|level17_stat_text                       = Supported Attacks deal 17% more Damage for each Warcry Exerting them
|level17_stat1_id                        = support_overexertion_damage_+%_final_per_warcry_exerting_action
|level17_stat1_value                     = 17
|level18                                 = True
|level18_level_requirement               = 68
|level18_stat_text                       = Supported Attacks deal 17% more Damage for each Warcry Exerting them
|level18_stat1_id                        = support_overexertion_damage_+%_final_per_warcry_exerting_action
|level18_stat1_value                     = 17
|level19                                 = True
|level19_level_requirement               = 69
|level19_stat_text                       = Supported Attacks deal 17% more Damage for each Warcry Exerting them
|level19_stat1_id                        = support_overexertion_damage_+%_final_per_warcry_exerting_action
|level19_stat1_value                     = 17
|level20                                 = True
|level20_level_requirement               = 70
|level20_stat_text                       = Supported Attacks deal 18% more Damage for each Warcry Exerting them
|level20_stat1_id                        = support_overexertion_damage_+%_final_per_warcry_exerting_action
|level20_stat1_value                     = 18
|level21                                 = True
|level21_level_requirement               = 72
