{{Passive skill
|id                                  = affliction_notable_surefooted_striker
|int_id                              = 61474
|name                                = Surefooted Striker
|is_notable                          = True
|icon                                = TwoHandedMeleeDamage
|stat1_id                            = chance_to_deal_double_damage_%_if_crit_with_two_handed_melee_weapon_recently
|stat1_value                         = 5
|stat2_id                            = two_handed_melee_critical_strike_chance_+%
|stat2_value                         = 40
|stat_text                           = 5% chance to deal Double Damage if you've dealt a [[Critical Strike]] with a [[Two Handed Melee Weapons|Two Handed Melee Weapon]] [[Recently]]<br>40% increased [[Critical Strike Chance]] with [[Two Handed Melee Weapons]]
}}
