{{Mod
|id                               = AdditionalTrapsThrownUnique__1
|mod_groups                       = AdditionalTrapsThrown
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AdditionalTrapsThrown
|stat_text                        = [[Skill|Skills]] which Throw [[Trap|Traps]] throw up to 2 additional [[Trap|Traps]]
|stat1_id                         = number_of_additional_traps_to_throw
|stat1_min                        = 2
|stat1_max                        = 2
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
