{{Mod
|id                               = TotemAreaOfEffectUniqueShieldStr5
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = TotemAreaOfEffect
|mod_type                         = TotemAreaOfEffect
|game_mode                        = 0
|stat_text                        = 15% increased Area of Effect for [[Skill|Skills]] used by [[Totem|Totems]]
|stat1_id                         = totem_skill_area_of_effect_+%
|stat1_min                        = 15
|stat1_max                        = 15
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
