{{Mod
|id                               = DisplaySupportedByTrapUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 40
|mod_groups                       = DisplaySupportedByTrap
|granted_skill                    = SupportTrap
|mod_type                         = DisplaySupportedByTrap
|game_mode                        = 0
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Trap Support|Level 16 Trap]]
|stat1_id                         = local_display_socketed_gems_get_trap_level
|stat1_min                        = 16
|stat1_max                        = 16
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
