{{Mod
|id                               = ConsecratedGroundStationaryInfluence1_
|domain                           = 1
|generation_type                  = 1
|required_level                   = 75
|name                             = Crusader's
|mod_groups                       = ConsecratedGroundStationary
|mod_type                         = ConsecratedGroundStationary
|game_mode                        = 0
|stat_text                        = You have Consecrated Ground around you while [[Stationary|stationary]]
|stat1_id                         = consecrated_ground_while_stationary_radius
|stat1_min                        = 18
|stat1_max                        = 18
|spawn_weight1_tag                = body_armour_crusader
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = influence_mod
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
