{{Mod
|id                               = TinctureDamageOverTimeMultiplier5
|domain                           = 34
|generation_type                  = 2
|required_level                   = 84
|name                             = of Dissolution
|mod_groups                       = DamageOverTimeMultiplier
|mod_type                         = TinctureDamageOverTimeMultiplier
|game_mode                        = 0
|stat_text                        = +(29-33)% to Damage over Time Multiplier with Melee Weapon [[Attack|Attacks]]
|stat1_id                         = damage_over_time_multiplier_+_with_tinctured_weapons
|stat1_min                        = 29
|stat1_max                        = 33
|spawn_weight1_tag                = tincture
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = damage, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
