{{Passive skill
|id                                  = AscendancyCustomRaider4
|int_id                              = 20239
|name                                = Above the Clouds
|ascendancy_class                    = Warden
|is_notable                          = True
|icon                                = BestiaryNotable4 (AtlasTrees)
|stat1_id                            = aspect_of_the_avian_grants_avians_might_and_avians_flight_to_nearby_allies
|stat1_value                         = 1
|stat2_id                            = aspect_of_the_avian_buff_effect_+%
|stat2_value                         = 200
|stat_text                           = Aspect of the Avian also grants Avian's Might and Avian's Flight to [[Nearby|nearby]] Allies<br>200% increased Aspect of the Avian Buff Effect
}}
