{{Base item
|rarity_id                               = normal
|name                                    = The Finishing Touch
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = A little extra flair never hurts.
|drop_level                              = 60
|tags                                    = currency_divination, currency_league_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheFinishingTouch
|stack_size                              = 2
|description                             = {{c|currency|1x {{il|html=|Fertile Catalyst}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
