{{Mod
|id                               = ChestItemSocketsLabyrinth1
|mod_groups                       = ChestItemSockets
|domain                           = 4
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ChestItemSockets
|stat_text                        = Contained Items have an additional [[Item socket|Socket]]
|stat1_id                         = dropped_items_have_additional_sockets
|stat1_min                        = 1
|stat1_max                        = 1
}}
