{{Mod
|id                               = CastOnManaSpentProphecy
|mod_groups                       = ChanceToCastOnManaSpent
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ChanceToCastOnManaSpent
|stat_text                        = Trigger [[Item socket|Socketed]] [[Spell|Spells]] when you Spend at least 100 [[Mana]] on an<br />Upfront Cost to Use or Trigger a Skill, with a 0.1 second Cooldown (Hidden)
|stat1_id                         = cast_socketed_spells_on_X_mana_spent
|stat1_min                        = 100
|stat1_max                        = 100
|stat2_id                         = cast_socketed_spells_on_mana_spent_%_chance
|stat2_min                        = 100
|stat2_max                        = 100
|tags                             = skill, caster, gem
}}
