{{Mod
|id                               = AdditionalArrowsUniqueTransformed__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 55
|mod_groups                       = AdditionalArrows
|mod_type                         = AdditionalArrows
|game_mode                        = 0
|stat_text                        = [[Bow]] [[Attack|Attacks]] fire an additional Arrow
|stat1_id                         = number_of_additional_arrows
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
