{{Mod
|id                               = SupportedByFasterCastUnique__1
|mod_groups                       = DisplaySocketedGemsGetFasterCast
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = SupportFasterCast
|mod_type                         = DisplaySocketedGemsGetFasterCast
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Faster Casting Support|Level 18 Faster Casting]]
|stat1_id                         = local_display_socketed_gems_get_faster_cast_level
|stat1_min                        = 18
|stat1_max                        = 18
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
