{{Base item
|rarity_id                               = normal
|name                                    = The Demoness
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Wherever she went, death was sure to follow.
|drop_level                              = 54
|tags                                    = weapon_divination, unique_divination, unique_weapon_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheDemoness
|stack_size                              = 5
|description                             = {{c|unique|{{il|html=|Death's Hand}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
