{{Mod
|id                               = AddedPhysicalDamageUniqueQuiver10
|domain                           = 1
|generation_type                  = 3
|required_level                   = 69
|mod_groups                       = PhysicalDamage
|mod_type                         = PhysicalDamageWithBows
|game_mode                        = 0
|stat_text                        = (5-10) to (12-24) Added [[Physical Damage]] with [[Bow]] [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_physical_damage_with_bow
|stat1_min                        = 5
|stat1_max                        = 10
|stat2_id                         = attack_maximum_added_physical_damage_with_bow
|stat2_min                        = 12
|stat2_max                        = 24
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
