{{Passive skill
|id                                  = AscendancyCustomBerserker12__
|int_id                              = 13061
|name                                = Fueled by Hate
|ascendancy_class                    = Berserker
|is_notable                          = True
|icon                                = JuggernautArmourNotable (Juggernaut)
|stat1_id                            = vaal_attack_rage_cost_instead_of_souls_per_use
|stat1_value                         = 1
|stat2_id                            = cannot_gain_rage_during_soul_gain_prevention
|stat2_value                         = 1
|stat3_id                            = base_rage_cost_+%
|stat3_value                         = 50
|stat_text                           = Vaal [[Attack]] [[Skill|Skills]] you Use yourself Cost Rage instead of requiring Souls<br>You cannot gain Rage during Soul Gain Prevention<br>50% increased Rage Cost of [[Skill|Skills]]
}}
