{{Base item
|rarity_id                               = normal
|name                                    = The Realm
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = If you wish to rush into strange places, be prepared to face strange things.
|drop_level                              = 23
|tags                                    = gems_divination, gems_quality_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheRealm
|stack_size                              = 5
|description                             = {{c|gem|[[Portal]]}}<br>{{c|default|Quality:}} {{c|augmented|+1-20%}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
