{{Passive skill
|id                                  = spell_dot_notable_2981
|int_id                              = 52742
|name                                = Hasty Demise
|is_notable                          = True
|icon                                = ManaNotable
|stat1_id                            = damage_over_time_+%_with_spells
|stat1_value                         = 30
|stat2_id                            = base_cast_speed_+%
|stat2_value                         = 8
|stat3_id                            = skill_effect_duration_+%
|stat3_value                         = -10
|stat_text                           = 30% increased Damage Over Time with [[Spell]] [[Skill|Skills]]<br>8% increased [[Cast Speed]]<br>10% reduced [[Skill]] Effect Duration
|connections                         = mastery_damageovertime302,spell_dot_2977
}}
