{{Base item
|rarity_id                               = normal
|name                                    = Burning Blood
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = There's a place where up is down, <br>where right is wrong, <br>where pleasure is agony, <br>and where the living wish only for death.
|drop_level                              = 70
|tags                                    = jewellery_divination, unique_divination, corrupted_divination, unique_corrupted_divination, unique_jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardBurningBlood
|stack_size                              = 6
|description                             = {{c|unique|{{il|html=|Xoph's Blood}}}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
