{{Mod
|id                               = IncreasedAuraEffectUniqueJewel45
|mod_groups                       = AuraEffect
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AuraEffectGlobal
|stat_text                        = 3% increased effect of Non-Curse Auras from your [[Skill|Skills]]
|stat1_id                         = non_curse_aura_effect_+%
|stat1_min                        = 3
|stat1_max                        = 3
|tags                             = aura
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
