{{Mod
|id                               = V2AvoidPoisonAbyssalJewelCorrupted
|mod_groups                       = ChanceToAvoidPoison
|domain                           = 13
|generation_type                  = 5
|required_level                   = 1
|mod_type                         = ChanceToAvoidPoison
|stat_text                        = (20-25)% chance to Avoid being [[Poison|Poisoned]]
|stat1_id                         = base_avoid_poison_%
|stat1_min                        = 20
|stat1_max                        = 25
|spawn_weight1_tag                = default
|spawn_weight1_value              = 1000
|tags                             = poison, chaos, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
