{{Mod
|id                               = NovaSpellsAreaOfEffectUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 50
|mod_groups                       = NovaSpellsAreaOfEffect
|mod_type                         = NovaSpellsAreaOfEffect
|game_mode                        = 0
|stat_text                        = Nova [[Spell|Spells]] have 20% less Area of Effect
|stat1_id                         = local_ring_nova_spells_area_of_effect_+%_final
|stat1_min                        = -20
|stat1_max                        = -20
|tags                             = caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
