{{Passive skill
|id                                  = affliction_notable_blowback
|int_id                              = 29748
|name                                = Blowback
|is_notable                          = True
|icon                                = FireDamageOverTimeNotable
|stat1_id                            = faster_burn_%
|stat1_value                         = 8
|stat2_id                            = base_chance_to_ignite_%
|stat2_value                         = 10
|stat_text                           = [[Ignite|Ignites]] you inflict deal Damage 8% faster<br>10% chance to [[Ignite]]
}}
