{{Mod
|id                               = AzmeriDruidFlaskEffect
|mod_groups                       = MonsterFlaskEffect
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MonsterFlaskEffect
|stat_text                        = [[Flask|Flasks]] applied to you have 200% increased Effect (Hidden)
|stat1_id                         = flask_effect_+%
|stat1_min                        = 200
|stat1_max                        = 200
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
