{{Mod
|id                               = BlindOnHitUber2
|domain                           = 1
|generation_type                  = 2
|required_level                   = 75
|name                             = of the Elder
|mod_groups                       = BlindOnHit
|mod_type                         = AttacksBlindOnHitChance
|game_mode                        = 0
|stat_text                        = (7-8)% chance to Blind Enemies on [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = attacks_chance_to_blind_on_hit_%
|stat1_min                        = 7
|stat1_max                        = 8
|spawn_weight1_tag                = bow_elder
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = 2h_axe_elder
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = 2h_sword_elder
|spawn_weight3_value              = 1000
|spawn_weight4_tag                = sword_elder
|spawn_weight4_value              = 1000
|spawn_weight5_tag                = axe_elder
|spawn_weight5_value              = 1000
|spawn_weight6_tag                = claw_elder
|spawn_weight6_value              = 1000
|spawn_weight7_tag                = default
|spawn_weight7_value              = 0
|generation_weight1_tag           = has_attack_mod
|generation_weight1_value         = 100
|generation_weight2_tag           = has_caster_mod
|generation_weight2_value         = 65
|generation_weight3_tag           = default
|generation_weight3_value         = 100
|tags                             = influence_mod, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
