{{Base item
|rarity_id                               = normal
|name                                    = The Nurse
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = We tried to tell him to get his head checked.
|drop_level                              = 30
|tags                                    = gives_other_cards_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheNurse
|stack_size                              = 8
|description                             = {{c|divination|{{il|html=|The Doctor}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
