{{Mod
|id                               = AddedFireDamage8Inverted
|mod_groups                       = FireDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 64
|name                             = Blasting
|mod_type                         = SelfFireDamageTaken
|stat_text                        = Adds (16-22) to (32-38) [[Fire Damage]] to [[Attack|Attacks]] against you
|stat1_id                         = from_self_minimum_added_attack_fire_damage_taken
|stat1_min                        = 16
|stat1_max                        = 22
|stat2_id                         = from_self_maximum_added_attack_fire_damage_taken
|stat2_min                        = 32
|stat2_max                        = 38
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental_damage, damage, elemental, fire, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
