{{Mod
|id                               = WeaponTreeSupportEnergyLeech2HHardMode
|domain                           = 1
|generation_type                  = 31
|required_level                   = 38
|mod_groups                       = WeaponTreeSupportEnergyLeech
|granted_skill                    = SupportEnergyLeech
|mod_type                         = WeaponTreeSupportEnergyLeech
|game_mode                        = 2
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Level]] 10 Energy [[Leech]]
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_energy_leech
|stat1_min                        = 10
|stat1_max                        = 10
|spawn_weight1_tag                = two_hand_weapon
|spawn_weight1_value              = 25
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
}}
