{{Passive skill
|id                                  = atlas_legion_4230
|int_id                              = 12773
|name                                = Logistical Support
|is_notable                          = True
|is_atlas_passive                    = True
|icon                                = LegionPackSize (AtlasTrees)
|stat1_id                            = map_legion_monsters_with_rewards_have_%_chance_to_gain_additional_reward
|stat1_value                         = 20
|stat2_id                            = map_legion_monsters_with_rewards_have_%_chance_to_gain_two_additional_rewards
|stat2_value                         = 10
|stat3_id                            = map_legion_monsters_+%_life_per_reward_final
|stat3_value                         = 50
|stat_text                           = Legion Monsters in your Maps which have Rewards have 10% chance to gain two additional Rewards, and if not have 20% chance to gain one additional Reward<br>Legion Monsters in your Maps gain 50% more [[Life]] for each additional Reward they have
}}
