{{Base item
|rarity_id                               = normal
|name                                    = From Bone to Ashes
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = For centuries, they stood vigil in secret over their sleeping goddess, even as contamination oozed out of the decadent Vaal empire.
|drop_level                              = 55
|tags                                    = weapon_divination, unique_divination, corrupted_divination, unique_corrupted_divination, unique_weapon_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardFromBoneToAshes
|stack_size                              = 8
|description                             = {{c|unique|{{il|html=|Ngamahu's Flame}}}}<br>{{c|corrupted|[[Two-Implicit]]}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
