{{Mod
|id                               = TotemDamageSpellUber3
|mod_groups                       = TotemSupported
|domain                           = 1
|generation_type                  = 2
|required_level                   = 80
|name                             = of the Elder
|granted_skill                    = SupportSpellTotem
|mod_type                         = TotemDamageSpellSupported
|stat_text                        = (31-35)% increased [[Totem]] Damage<br>[[Item socket|Socketed]] Gems are Supported by [[Spell Totem Support|Level 22 Spell Totem]]
|stat1_id                         = totem_damage_+%
|stat1_min                        = 31
|stat1_max                        = 35
|stat2_id                         = local_display_socketed_gems_get_spell_totem_level
|stat2_min                        = 22
|stat2_max                        = 22
|spawn_weight1_tag                = boots_elder
|spawn_weight1_value              = 250
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, damage, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
