{{Mod
|id                               = V2AllResistancesCorrupted
|mod_groups                       = AllResistancesCorrupted
|domain                           = 1
|generation_type                  = 5
|required_level                   = 1
|mod_type                         = AllResistancesCorrupted
|stat_text                        = +(14-16)% to all [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = base_resist_all_elements_%
|stat1_min                        = 14
|stat1_max                        = 16
|spawn_weight1_tag                = amulet
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = ring
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = belt
|spawn_weight3_value              = 1000
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|tags                             = elemental, resistance
}}
