{{Base item
|rarity_id                               = normal
|name                                    = Influenced Scouting Report
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 81
|tags                                    = drops_in_maps_only, currency, default
|metadata_id                             = Metadata/Items/Currency/ScoutingReports/AtlasScoutingReportGuardian
|stack_size                              = 20
|description                             = Reroll all of Kirac's Atlas Missions, including at least one Shaper Guardian, Elder Guardian, or Elderslayer Map
|help_text                               = Right click this item while viewing Kirac's Atlas Missions to use it.<br>Shift click to unstack.
|stack_size_currency_tab                 = 5000
}}
