{{Passive skill
|id                                  = block_node_2935
|int_id                              = 38119
|name                                = Block and Armour
|icon                                = blockstr
|stat1_id                            = dual_wield_or_shield_block_%
|stat1_value                         = 3
|stat2_id                            = physical_damage_reduction_rating_+%
|stat2_value                         = 12
|stat_text                           = +3% Chance to [[Block]] [[Attack Damage]] while [[Dual Wield|Dual Wielding]] or holding a [[Shield]]<br>12% increased [[Armour]]
|connections                         = block_notable_2938,block_node_2937,block_notable_2938
}}
