{{Base item
|rarity_id                               = normal
|name                                    = Polaric Invitation
|class_id                                = MiscMapItem
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Once within the grasp of the Black Star,<br>there can be no escape.
|drop_level                              = 1
|drop_rarities_ids                       = normal, magic, rare
|tags                                    = primordial_map, default
|metadata_id                             = Metadata/Items/MapFragments/Primordial/CurrencyCleansingFireKey
|help_text                               = Open portals to Polaric Void by using this item in a personal Map Device.
|implicit1                               = ChampionsFragment
}}
