{{Mod
|id                               = StarterPassiveJewelUnique__8
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = StarterPassiveJewel
|mod_type                         = StarterPassiveJewel8
|game_mode                        = 0
|stat_text                        = While your [[Passive skill|Passive Skill]] Tree connects to the Marauder's starting location, you gain:<br />1% of [[Life]] Regenerated per second
|stat1_id                         = local_unique_jewel_life_regeneration_rate_per_minute_%_with_passive_tree_connected_to_marauder_start
|stat1_min                        = 60
|stat1_max                        = 60
|tags                             = resource, life
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
