{{Passive skill
|id                                  = wrecking_ball435
|int_id                              = 49318
|name                                = Wrecking Ball
|is_notable                          = True
|icon                                = wreckingball
|stat1_id                            = two_handed_melee_weapon_hit_and_ailment_damage_+%
|stat1_value                         = 25
|stat2_id                            = two_handed_melee_attack_speed_+%
|stat2_value                         = 10
|stat3_id                            = two_handed_melee_stun_duration_+%
|stat3_value                         = 40
|stat_text                           = [[Attack|Attacks]] with [[Two Handed Melee Weapons]] deal 25% increased Damage with [[Hit|Hits]] and Ailments<br>10% increased [[Attack Speed]] with [[Two Handed Melee Weapons]]<br>40% increased Stun Duration with [[Two Handed Melee Weapons]] on Enemies
|connections                         = two_hand_attack_speed1864,mastery_twohand242
}}
