{{Passive skill
|id                                  = minion_life1151
|int_id                              = 49047
|name                                = Minion Life and Chaos Resistance
|icon                                = MinionChaosResistanceNode
|stat1_id                            = minion_maximum_life_+%
|stat1_value                         = 8
|stat2_id                            = minion_chaos_resistance_%
|stat2_value                         = 13
|stat_text                           = [[Minion|Minions]] have 8% increased maximum [[Life]]<br>[[Minion|Minions]] have +13% to [[Chaos Resistance]]
|connections                         = additional_minions277,minion_life281
}}
