{{Passive skill
|id                                  = minion_damage2252
|int_id                              = 9650
|name                                = Minion Damage and Life
|icon                                = miniondamageBlue
|stat1_id                            = minion_damage_+%
|stat1_value                         = 10
|stat2_id                            = minion_maximum_life_+%
|stat2_value                         = 5
|stat_text                           = [[Minion|Minions]] deal 10% increased Damage<br>[[Minion|Minions]] have 5% increased maximum [[Life]]
|connections                         = minion_speed2253,energy_shield1632,minion_speed2253
}}
