{{Mod
|id                               = SocketedAurasReserveNoManaUnique__1
|mod_groups                       = SocketedAurasReserveNoMana
|domain                           = 1
|generation_type                  = 3
|required_level                   = 48
|granted_skill                    = SupportAurasReserveNoManaUnique
|mod_type                         = SocketedAurasReserveNoMana
|stat_text                        = [[Item socket|Socketed]] Gems have no Reservation<br />Your Blessing [[Skill|Skills]] are Disabled
|stat1_id                         = disable_blessing_skills_and_display_socketed_aura_gems_reserve_no_mana
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = resource, mana, aura
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 8
}}
