{{Mod
|id                               = AdditionalProjectilesUnique__1__
|mod_groups                       = AdditionalProjectiles
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AdditionalProjectiles
|stat_text                        = [[Skill|Skills]] fire 2 additional Projectiles
|stat1_id                         = number_of_additional_projectiles
|stat1_min                        = 2
|stat1_max                        = 2
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
