{{Mod
|id                               = DespairImmuneToCursesUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = CurseCastBonus
|mod_type                         = DespairImmuneToCurses
|game_mode                        = 0
|stat_text                        = Immune to [[Curse|Curses]] if you've cast Despair in the past 10 seconds
|stat1_id                         = immune_to_curses_if_cast_dispair_in_past_10_seconds
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
