{{Passive skill
|id                                  = AscendancyCustomGuardian4
|int_id                              = 24342
|name                                = Devout of the Brine King
|ascendancy_class                    = Guardian
|is_notable                          = True
|icon                                = RadientFaith (Guardian)
|stat1_id                            = base_maximum_cold_damage_resistance_%
|stat1_value                         = 10
|stat2_id                            = base_cannot_be_frozen
|stat2_value                         = 1
|stat_text                           = +10% to maximum [[Cold Resistance]]<br>Cannot be [[Freeze|Frozen]]
}}
