{{Base item
|rarity_id                               = normal
|name                                    = A Note in the Wind
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = The artist is long dead,<br>the lyrics are long forgotten,<br>yet the Song of War longs to be sung again
|drop_level                              = 23
|tags                                    = armour_divination, unique_divination, unique_armour_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardANoteInTheWind
|stack_size                              = 4
|description                             = {{c|unique|{{il|html=|Asenath's Mark}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
