{{Base item
|rarity_id                               = normal
|name                                    = Bijoux
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = "Such fine trinkets show their true value in times of crisis." - Tangmazu
|drop_level                              = 80
|tags                                    = jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardBijoux
|stack_size                              = 3
|description                             = {{c|rare|Cluster Jewel}}<br>{{c|default|Item Level:}} {{c|normal|84}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
