{{Mod
|id                               = ManaCostTotalNonChannelledUnique__1__
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = IncreaseFlatManaCost
|mod_type                         = ManaCostTotalNonChannelled
|game_mode                        = 0
|stat_text                        = Non-Channelling [[Skill|Skills]] have -9 to Total [[Mana]] Cost
|stat1_id                         = skill_mana_cost_+_with_non_channelling_skills
|stat1_min                        = -9
|stat1_max                        = -9
|tags                             = resource, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
