{{Mod
|id                               = LifeGainedOnSpellHitUniqueDescentClaw1
|mod_groups                       = LifeGainedOnSpellHit
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = LifeGainedOnSpellHit
|stat_text                        = Gain 3 [[Life]] per Enemy [[Hit]] with [[Spell|Spells]]
|stat1_id                         = base_life_gained_on_spell_hit
|stat1_min                        = 3
|stat1_max                        = 3
|tags                             = resource, life, caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
