{{Mod
|id                               = StrikeSkillMemoryUseUnique__1_______
|mod_groups                       = StrikeSkillMemory
|domain                           = 1
|generation_type                  = 3
|required_level                   = 50
|mod_type                         = StrikeSkillMemory
|stat_text                        = Strike [[Skill|Skills]] also target the previous location they were Used
|stat1_id                         = melee_strike_skill_strike_previous_location
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
