{{Passive skill
|id                                  = banner_notable_2880
|int_id                              = -4346
|name                                = Rallying Icon
|is_notable                          = True
|icon                                = BannerDurationNotable
|stat1_id                            = banner_aura_effect_+%
|stat1_value                         = 15
|stat2_id                            = banner_resist_all_elements_%
|stat2_value                         = 5
|stat_text                           = Banner [[Skill|Skills]] have 15% increased Aura Effect<br>Banners also grant +5% to all [[Elemental Resistance|Elemental Resistances]] to you and Allies
}}
