{{Mod
|id                               = LocalGolemLifeAddedAsESUnique__1
|mod_groups                       = LocalGolemLifeAddedAsES
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = UniqueSupportLocalGolemLifeAddedAsES
|mod_type                         = LocalGolemLifeAddedAsES
|stat_text                        = [[Item socket|Socketed]] Golem [[Skill|Skills]] gain 20% of Maximum [[Life]] as Extra Maximum [[Energy Shield]]
|stat1_id                         = local_display_socketed_golem_skills_minions_life_%_to_add_as_energy_shield
|stat1_min                        = 20
|stat1_max                        = 20
|tags                             = skill, resource, life, defences, energy_shield, minion, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
