{{Mod
|id                               = FlaskGainFrenzyChargeUniqueFlask2
|mod_groups                       = FlaskGainCharge
|domain                           = 2
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = FlaskGainFrenzyCharge
|stat_text                        = Gain (1-3) [[Frenzy Charge|Frenzy Charges]] on use
|stat1_id                         = local_flask_gain_frenzy_charges_on_use
|stat1_min                        = 1
|stat1_max                        = 3
|tags                             = flask, frenzy_charge
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
