{{Passive skill
|id                                  = reservation_notable_2910
|int_id                              = 58851
|name                                = Leader of the Pack
|is_notable                          = True
|icon                                = AuraReservationNotable
|stat1_id                            = base_aura_area_of_effect_+%
|stat1_value                         = 20
|stat2_id                            = base_reservation_efficiency_+%
|stat2_value                         = 12
|stat_text                           = 20% increased Area of Effect of Aura [[Skill|Skills]]<br>12% increased Reservation Efficiency of [[Skill|Skills]]
|connections                         = mastery_reservation_285,reservation_node_2908
}}
