{{Passive skill
|id                                  = AscendancyCustomPathfinder4
|int_id                              = 45449
|name                                = Spellslinging
|ascendancy_class                    = Pathfinder
|is_notable                          = True
|icon                                = WardenPrimitivism (Warden)
|stat1_id                            = spellslinger_mana_reservation_+%
|stat1_value                         = -50
|stat2_id                            = spellslinger_cooldown_duration_+%
|stat2_value                         = 50
|stat_text                           = [[Skill|Skills]] Supported by Spellslinger have 50% reduced [[Mana Reservation]]<br>[[Skill|Skills]] Supported by Spellslinger have 50% increased Cooldown Recovery Rate
}}
