{{Base item
|rarity_id                               = normal
|name                                    = Captured Soul of Fragment of Winter
|class_id                                = PantheonSoul
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = The fish-wives of Tsoatha rejoiced loudly as<br>the Brine King descended into the great abyss,<br>making merry while his blasphemous offspring<br>slithered 'neath the icy waters...
|drop_level                              = 1
|tags                                    = default
|metadata_id                             = Metadata/Items/PantheonSouls/PantheonSoulBrineKingUpgrade2
|help_text                               = A captured Soul. Give to Sin or Right-click to unlock a secondary Pantheon Power.
}}
