{{Passive skill
|id                                  = AscendancySpecialEldritch4
|int_id                              = 42469
|name                                = Fatal Flourish
|ascendancy_class                    = Champion
|icon                                = 
|stat1_id                            = non_travel_attack_skill_repeat_count
|stat1_value                         = 1
|stat2_id                            = duelist_hidden_ascendancy_attack_skill_final_repeat_damage_+%_final
|stat2_value                         = 60
|stat_text                           = Non-Travel [[Attack]] [[Skill|Skills]] Repeat an additional Time<br>Final Repeat of [[Attack]] [[Skill|Skills]] deals 60% more Damage
}}
