{{Mod
|id                               = NecropolisCraftingAvoidFreeze
|mod_groups                       = AvoidFreeze
|domain                           = 1
|generation_type                  = 2
|required_level                   = 16
|name                             = of Haunting
|mod_type                         = AvoidFreeze
|stat_text                        = (60-75)% chance to Avoid being [[Freeze|Frozen]]
|stat1_id                         = base_avoid_freeze_%
|stat1_min                        = 60
|stat1_max                        = 75
|spawn_weight1_tag                = necropolis_boots
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = necropolis_exclusive_mod, elemental, cold, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
