{{Passive skill
|id                                  = AscendancyCustomRaider18
|int_id                              = 24394
|name                                = Scourge of the Wilds
|ascendancy_class                    = Warden
|is_notable                          = True
|icon                                = BestiaryNotable4 (AtlasTrees)
|stat1_id                            = additive_minion_damage_modifiers_apply_to_you_at_150%_value
|stat1_value                         = 1
|stat2_id                            = minion_damage_+%_per_5_dex
|stat2_value                         = 1
|stat_text                           = Increases and Reductions to [[Minion Damage]] also affect you at 150% of their value<br>[[Minion|Minions]] deal 1% increased Damage per 5 [[Dexterity]]
}}
