{{Passive skill
|id                                  = AscendancyCustomJuggernaut9
|int_id                              = 16317
|name                                = Forest of Ancestors
|ascendancy_class                    = Juggernaut
|is_notable                          = True
|icon                                = JuggernautArmourNotable (Juggernaut)
|stat1_id                            = damage_removed_from_your_nearest_totem_before_life_or_es_%
|stat1_value                         = 20
|stat2_id                            = number_of_additional_totems_allowed
|stat2_value                         = 1
|stat_text                           = 20% of Damage from [[Hit|Hits]] is taken from your nearest [[Totem]]'s [[Life]] before you<br>+1 to maximum number of Summoned [[Totem|Totems]]
}}
