{{Mod
|id                               = MapTotemsStrDexIntMission
|domain                           = 5
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MapTotems
|mod_type                         = MapTotemsMap2Tier
|game_mode                        = 0
|stat_text                        = Area contains many [[Totem|Totems]]
|stat1_id                         = map_packs_are_totems
|stat1_min                        = 1
|stat1_max                        = 1
}}
