{{Mod
|id                               = SpellAddedLightningDamage6
|domain                           = 1
|generation_type                  = 1
|required_level                   = 42
|name                             = Arcing
|mod_groups                       = SpellAddedElementalDamage
|mod_type                         = SpellAddedLightningDamage
|game_mode                        = 0
|stat_text                        = Adds (2-7) to (84-88) [[Lightning Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_lightning_damage
|stat1_min                        = 2
|stat1_max                        = 7
|stat2_id                         = spell_maximum_added_lightning_damage
|stat2_min                        = 84
|stat2_max                        = 88
|spawn_weight1_tag                = attack_dagger
|spawn_weight1_value              = 0
|spawn_weight2_tag                = wand
|spawn_weight2_value              = 800
|spawn_weight3_tag                = sceptre
|spawn_weight3_value              = 800
|spawn_weight4_tag                = dagger
|spawn_weight4_value              = 800
|spawn_weight5_tag                = default
|spawn_weight5_value              = 0
|tags                             = elemental_damage, caster_damage, damage, elemental, lightning, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
