{{Mod
|id                               = IzaroReducedMeleeDamageTakenBuff2
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MeleeDamageTaken
|mod_type                         = MeleeDamageTaken
|game_mode                        = 0
|stat_text                        = 20% increased Damage taken from Melee [[Attack|Attacks]] (Hidden)
|stat1_id                         = melee_damage_taken_+%
|stat1_min                        = 20
|stat1_max                        = 20
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
